121,PMC to Bhosari,510 535 545 555 700 710 720 730 740 845 855 905 915 925 1040 1100 1120 1130 1140 1230 1300 1320 1340 1450 1500 1510 1520 1530 1640 1650 1700 1710 1720 1845 1900 1920 1930 1940 2120,545 615 625 635 750 800 810 820 830 940 950 1000 1010 1020 1130 1155 1215 1225 1235 1355 1415 1435 1545 1555 1605 1615 1625 1735 1745 1755 1805 1815 1945 2005 2015 2025 2205
309,Dehugaon to Alandi,645 1715 715 745 800 820 850 920 935 945 1000 1015 1030 1045 1100 1125 1145 1155 1210 1225 1240 1305 1310 1325 1405 1450 1520 1550 1605 1615 1630 1645 1700 1730 1745 1755 1810 1825 1840 1855 1910 1955 2005 2020 2050 2120 2135,600 630 700 715 735 800 830 845 855 910 925 940 955 1010 1025 1035 1050 1105 1120 1135 1150 1215 1235 1315 1405 1435 1505 1520 1530 1540 1555 1610 1625 1640 1655 1705 1720 1735 1750 1805 1820 1835 1900 1915 1930 2000
315,Bhosari to Pune Station,615 645 800 915 945 1015 1055 1315 1400 1430 1540 1640 1700 1730 1800 1945 2000 2015,730 800 910 1030 1100 1130 1205 1400 1425 1520 1545 1615 1650 1825 1845 1900
320,Alandi to Mhalunge,700 1020 1310 1550 1910,825 1145 1435 1710 2035
324,Bhosari to Hinjewadi Ph 3,530 545 600 615 630 645 700 715 730 745 800 815 830 845 900 915 930 945 1000 1015 1100 1115 1130 1145 1200 1215 1230 1245 1300 1315 1345 1415 1430 1445 1500 1515 1530 1545 1600 1615 1630 1645 1700 1715 1730 1745 1800 1830 1845 1915 1930 1945 2000 2015 2030 2045 2100 2115 2130 2200,645 700 715 730 745 800 815 830 845 900 915 930 945 1000 1015 1030 1045 1100 1115 1130 1215 1230 1245 1300 1315 1330 1345 1400 1415 1430 1500 1530 1545 1600 1615 1630 1645 1700 1715 1730 1745 1800 1815 1830 1845 1900 1915 1945 2000 2030 2045 2100 2115 2130 2145 2200 2215 2230 2245 2315
339,Sant nagar (Indrayaninagar) to Katraj,545 650 735 825 955 1055 1145 1235 1350 1445 1540 1635 1805 1900 1955 2050,730 825 915 1010 1150 1245 1335 1430 1540 1640 1730 1825 2000 2055 2150 2230
351,Alandi to Jambe,740 1110 1405 1650 1910,905 1240 1540 1800
357,Rajgurunagar to Pune Station,550 600 620 635 650 705 715 725 730 740 755 810 825 840 900 915 935 950 1000 1015 1030 1045 1100 1115 1120 1130 1140 1945 1155 1210 1225 1240 1255 1310 1320 1330 1335 1400 1415 1430 1445 1500 1515 1520 1530 1540 1550 1605 1620 1635 1650 1705 1715 1720 1740 1745 1800 1815 1830 1845 1900 1915 1930 2000 2015 2030 2045 2100 2105 2110 2120 2130 2135 2150 2200 2205 2205 2305,600 740 550 620 635 650 705 715 725 730 755 810 825 840 900 915 935 950 1000 1015 1030 1045 1100 1115 1120 1130 1140 1155 1210 1225 1240 1255 1310 1320 1330 1335 1350 1400 1415 1430 1445 1500 1515 1520 1530 1530 1540 1550 1605 1620 1635 1650 1705 1715 1720 1745 1800 1815 1830 1845 1900 1915 1930 1945 2000 2015 2045 2100 2110 2115 2120 2130 2150 2205 2305 2330
360,Balewadi to Alandi,700 1035 1345 1655 2035,535 830 1210 1520 1920
shuttle,Bhosari to Alandi,600 615 625 635 645 655 705 715 725 735 745 755 805 815 825 835 845 855 905 915 925 935 945 955 1005 1015 1025 1045 1105 1125 1135 1145 1155 1205 1215 1225 1235 1245 1255 1305 1315 1335 1355 1415 1425 1435 1445 1455 1505 1515 1525 1535 1545 1555 1605 1615 1625 1635 1645 1655 1705 1715 1725 1735 1745 1755 1805 1815 1825 1845 1905 1925 1935 1945 1955 2005 2015 2025 2035 2045 2055 2105 2115 2135,625 645 655 705 715 725 735 745 755 805 815 825 835 845 855 905 915 925 935 945 955 1005 1015 1025 1035 1045 1055 1115 1135 1155 1205 1215 1225 1235 1245 1255 1305 1315 1325 1335 1345 1405 1425 1445 1455 1505 1515 1525 1535 1545 1555 1605 1615 1625 1635 1645 1655 1705 1715 1725 1735 1745 1755 1805 1815 1825 1835 1845 1855 1915 1935 1955 2005 2015 2025 2035 2045 2055 2105 2115 2125 2135 2145 2205
shuttle,Bhosari to Rajgurunagar,450 520 545 610 620 645 650 700 705 720 735 745 800 810 820 830 840 900 910 920 925 940 955 1005 1015 1030 1050 1100 1110 1140 1145 1150 1215 1220 1235 1305 1330 1340 1355 1415 1435 1445 1455 1505 1510 1525 1540 1550 1600 1615 1625 1630 1635 1705 1715 1720 1725 1735 1745 1800 1810 1820 1840 1900 1915 1945 1955 2000 2020 2130,540 610 640 700 720 745 750 800 815 830 845 855 905 920 930 940 950 1010 1025 1035 1050 1105 1115 1125 1145 1210 1215 1220 1230 1250 1300 1345 1400 1420 1440 1450 1505 1525 1545 1555 1610 1615 1625 1640 1655 1700 1710 1710 1725 1735 1750 1820 1825 1835 1845 1855 1910 1920 1925 1950 2020 2025 2035 2055 2115 2240
shuttle,YCM to Alandi,745 750 915 930 1045 1100 1315 1500 1630 1630 1800 1805 2000,700 705 830 840 1000 1015 1225 1545 1545 1715 1715 1845 2045
325,Masulkar Colony to Pune Station via PMC,650 800 850 1020 1110 1400 1505 1620 1720 1840,745 910 1000 1120 1250 1510 1610 1730 1830 2020
326,Pimpri Gaon to Jadhav Wadi / Kudal Wadi via Chikhali,705 755 835 920 1015 1110 1225 1310 1410 1500 1535 1620 1705 1750 1835 1925 2040 2125,600 710 755 835 925 1000 1100 1230 1310 1350 1450 1540 1620 1705 1750 1840 1955 2040
237,Alandi to Hinjewadi / Maan Ph.3,635 725 820 910 1005 1055 1220 1310 1405 1455 1550 1640 1735 1825 1920 2010,635 725 820 910 1005 1055 1220 1310 1405 1455 1550 1640 1735 1825 1950 2040
331,Charholi to Rahatni,615 725 835 945 1130 1240 1400 1510 1620 1740 1910,615 725 835 1015 1125 1245 1400 1510 1620 1730 1920 2025
